"Date","System of production","Product origin","Product subgroup","Sales region","Price"
2023-11-01,"Conventional","Switzerland","CH Milk ","Switzerland",78.798144
2023-11-01,NA,"Switzerland","CH Milk ","Switzerland",76.960313
2023-11-01,NA,"Region 5","CH Milk ","Switzerland",77.994441
2023-11-01,"Conventional","Region 1","CH Milk ","Switzerland",88.643842
2023-11-01,NA,"Region 3","CH Milk ","Switzerland",73.811543
2023-10-01,NA,"Switzerland","CH Milk ","Switzerland",76.023607
2023-10-01,NA,"Region 1","CH Milk ","Switzerland",83.58346
2023-10-01,"Conventional","Region 1","CH Milk ","Switzerland",73.074072
2023-10-01,"Bio","Region 4","CH Milk ","Switzerland",92.872577
2023-10-01,NA,"Region 4","CH Milk ","Switzerland",75.973174
2023-10-01,"Conventional","Switzerland","CH Milk ","Switzerland",53.2
2023-10-01,"Conventional","Region 4","CH Milk ","Switzerland",72.263997
2023-10-01,"Conventional","Region 5","CH Milk ","Switzerland",69.973088
2023-10-01,"Conventional","Switzerland","CH Milk ","Switzerland",56.677036
2023-10-01,"Conventional","Switzerland","CH Milk ","Switzerland",79.122237
2023-10-01,"Bio","Region 1","CH Milk ","Switzerland",95.789791
2023-10-01,"Conventional","Region 2","CH Milk ","Switzerland",77.228365
2023-10-01,NA,"Region 5","CH Milk ","Switzerland",78.319044
2023-10-01,"Conventional","Switzerland","CH Milk ","Switzerland",53.2
2023-10-01,"IP Suisse","Switzerland","CH Milk ","Switzerland",77.651773
2023-10-01,"Bio","Region 2","CH Milk ","Switzerland",98.9663
2023-10-01,NA,"Switzerland","CH Milk ","Switzerland",77.924197
2023-10-01,"Conventional","Switzerland","CH Milk ","Switzerland",82.088086
2023-10-01,"Conventional","Region 1","CH Milk ","Switzerland",90.160188
2023-10-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-10-01,"Conventional","Region 5","CH Milk ","Switzerland",82.872439
2023-10-01,"Conventional","Region 2","CH Milk ","Switzerland",76.296548
2023-10-01,"Conventional","Region 5","CH Milk ","Switzerland",82.982894
2023-10-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-10-01,"Conventional","Region 1","CH Milk ","Switzerland",88.316559
2023-10-01,NA,"Italy","International Milk","Italy",51.242446
2023-10-01,NA,"Germany","International Milk","Germany",40.055951
2023-10-01,"Conventional","Switzerland","CH Milk ","Switzerland",73.045334
2023-10-01,NA,"New Zealand","International Milk","New Zealand",29.371785
2023-10-01,"Bio","Switzerland","CH Milk ","Switzerland",96.009157
2023-10-01,NA,"Region 3","CH Milk ","Switzerland",75.794391
2023-10-01,"Conventional","Switzerland","CH Milk ","Switzerland",80.67361
2023-10-01,NA,"Rest of the world, non-Swiss","International Milk",NA,37.443056
2023-10-01,NA,"Italy","International Milk","Italy",45.904327
2023-10-01,"Conventional","Switzerland","CH Milk ","Switzerland",76.331532
2023-10-01,"Conventional","Region 4","CH Milk ","Switzerland",75.569517
2023-10-01,"Conventional","Region 2","CH Milk ","Switzerland",73.607506
2023-10-01,NA,"USA / Canada","International Milk","USA",43.059514
2023-10-01,NA,"Austria","International Milk","Austria",45.084496
2023-10-01,NA,"Region 2","CH Milk ","Switzerland",76.939651
2023-10-01,NA,"EU","International Milk","EU-28",42.410183
2023-10-01,"Conventional","Region 3","CH Milk ","Switzerland",73.131444
2023-10-01,NA,"France","International Milk","France",42.236531
2023-10-01,"Conventional","Region 4","CH Milk ","Switzerland",77.562198
2023-09-01,"Conventional","Switzerland","CH Milk ","Switzerland",54.2
2023-09-01,NA,"Region 1","CH Milk ","Switzerland",84.225274
2023-09-01,"Conventional","Region 3","CH Milk ","Switzerland",73.995228
2023-09-01,NA,"New Zealand","International Milk","New Zealand",29.356917
2023-09-01,"Conventional","Region 2","CH Milk ","Switzerland",75.485687
2023-09-01,"Conventional","Switzerland","CH Milk ","Switzerland",79.951162
2023-09-01,"IP Suisse","Switzerland","CH Milk ","Switzerland",77.300543
2023-09-01,NA,"Italy","International Milk","Italy",46.586904
2023-09-01,NA,"USA / Canada","International Milk","USA",41.583368
2023-09-01,"Conventional","Region 4","CH Milk ","Switzerland",73.4151
2023-09-01,"Bio","Switzerland","CH Milk ","Switzerland",96.397384
2023-09-01,"Conventional","Switzerland","CH Milk ","Switzerland",57.710598
2023-09-01,"Conventional","Switzerland","CH Milk ","Switzerland",73.650731
2023-09-01,"Conventional","Region 2","CH Milk ","Switzerland",76.822522
2023-09-01,NA,"Switzerland","CH Milk ","Switzerland",76.506649
2023-09-01,NA,"EU","International Milk","EU-28",41.656976
2023-09-01,"Conventional","Switzerland","CH Milk ","Switzerland",54.2
2023-09-01,NA,"Germany","International Milk","Germany",39.424353
2023-09-01,"Conventional","Switzerland","CH Milk ","Switzerland",77.030827
2023-09-01,NA,"Region 3","CH Milk ","Switzerland",76.255575
2023-09-01,"Conventional","Switzerland","CH Milk ","Switzerland",79.984547
2023-09-01,"Conventional","Region 1","CH Milk ","Switzerland",89.570972
2023-09-01,NA,"France","International Milk","France",43.089121
2023-09-01,"Conventional","Region 5","CH Milk ","Switzerland",72.281903
2023-09-01,NA,"Switzerland","CH Milk ","Switzerland",78.419315
2023-09-01,NA,"Rest of the world, non-Swiss","International Milk",NA,33.58915
2023-09-01,"Conventional","Region 4","CH Milk ","Switzerland",76.964025
2023-09-01,"Conventional","Region 1","CH Milk ","Switzerland",91.275483
2023-09-01,NA,"Austria","International Milk","Austria",44.568004
2023-09-01,"Conventional","Region 4","CH Milk ","Switzerland",78.49719
2023-09-01,"Conventional","Region 1","CH Milk ","Switzerland",73.907953
2023-09-01,NA,"Region 5","CH Milk ","Switzerland",79.497896
2023-09-01,"Conventional","Switzerland","CH Milk ","Switzerland",82.675591
2023-09-01,NA,"Italy","International Milk","Italy",50.088141
2023-09-01,"Bio","Region 2","CH Milk ","Switzerland",98.217173
2023-09-01,"Conventional","Region 5","CH Milk ","Switzerland",82.262479
2023-09-01,"Conventional","Region 5","CH Milk ","Switzerland",82.329667
2023-09-01,"Conventional","Region 2","CH Milk ","Switzerland",73.616888
2023-09-01,NA,"Region 2","CH Milk ","Switzerland",76.690868
2023-09-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-09-01,"Bio","Region 4","CH Milk ","Switzerland",95.186771
2023-09-01,NA,"Region 4","CH Milk ","Switzerland",76.979583
2023-09-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-09-01,"Bio","Region 1","CH Milk ","Switzerland",95.742637
2023-08-01,NA,"USA / Canada","International Milk","USA",38.151914
2023-08-01,"Bio","Region 2","CH Milk ","Switzerland",97.821296
2023-08-01,NA,"Region 2","CH Milk ","Switzerland",76.182519
2023-08-01,"Conventional","Switzerland","CH Milk ","Switzerland",79.589984
2023-08-01,NA,"EU","International Milk","EU-28",41.709788
2023-08-01,"Conventional","Region 1","CH Milk ","Switzerland",73.873699
2023-08-01,"Conventional","Region 4","CH Milk ","Switzerland",74.018376
2023-08-01,NA,"Rest of the world, non-Swiss","International Milk",NA,32.871405
2023-08-01,"Conventional","Region 1","CH Milk ","Switzerland",89.770737
2023-08-01,"IP Suisse","Switzerland","CH Milk ","Switzerland",76.900473
2023-08-01,"Conventional","Region 5","CH Milk ","Switzerland",86.509813
2023-08-01,"Conventional","Switzerland","CH Milk ","Switzerland",76.636552
2023-08-01,NA,"Region 1","CH Milk ","Switzerland",83.040494
2023-08-01,"Bio","Switzerland","CH Milk ","Switzerland",96.151765
2023-08-01,"Conventional","Region 5","CH Milk ","Switzerland",72.704071
2023-08-01,"Conventional","Switzerland","CH Milk ","Switzerland",79.037339
2023-08-01,NA,"France","International Milk","France",42.785248
2023-08-01,"Conventional","Region 2","CH Milk ","Switzerland",73.271764
2023-08-01,"Conventional","Region 1","CH Milk ","Switzerland",88.10385
2023-08-01,"Conventional","Region 2","CH Milk ","Switzerland",74.890223
2023-08-01,NA,"Switzerland","CH Milk ","Switzerland",76.124012
2023-08-01,"Conventional","Switzerland","CH Milk ","Switzerland",73.710851
2023-08-01,NA,"Germany","International Milk","Germany",39.296567
2023-08-01,NA,"Switzerland","CH Milk ","Switzerland",78.027112
2023-08-01,"Conventional","Switzerland","CH Milk ","Switzerland",54.7
2023-08-01,NA,"Region 3","CH Milk ","Switzerland",76.478292
2023-08-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-08-01,"Conventional","Region 5","CH Milk ","Switzerland",85.981923
2023-08-01,"Bio","Region 4","CH Milk ","Switzerland",95.206712
2023-08-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-08-01,NA,"Italy","International Milk","Italy",48.233564
2023-08-01,"Conventional","Region 3","CH Milk ","Switzerland",74.332567
2023-08-01,"Conventional","Region 4","CH Milk ","Switzerland",78.086599
2023-08-01,"Conventional","Switzerland","CH Milk ","Switzerland",57.816801
2023-08-01,NA,"Italy","International Milk","Italy",46.987038
2023-08-01,NA,"Region 4","CH Milk ","Switzerland",77.190596
2023-08-01,"Conventional","Switzerland","CH Milk ","Switzerland",81.244347
2023-08-01,NA,"Region 5","CH Milk ","Switzerland",81.222845
2023-08-01,"Bio","Region 1","CH Milk ","Switzerland",95.285671
2023-08-01,"Conventional","Switzerland","CH Milk ","Switzerland",54.7
2023-08-01,NA,"Austria","International Milk","Austria",45.694128
2023-08-01,"Conventional","Region 4","CH Milk ","Switzerland",76.738459
2023-08-01,"Conventional","Region 2","CH Milk ","Switzerland",76.153856
2023-08-01,NA,"New Zealand","International Milk","New Zealand",27.015887
2023-07-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-07-01,"Conventional","Region 1","CH Milk ","Switzerland",71.835373
2023-07-01,NA,"Region 1","CH Milk ","Switzerland",82.724199
2023-07-01,NA,"USA / Canada","International Milk","USA",33.514009
2023-07-01,"Conventional","Region 5","CH Milk ","Switzerland",71.925532
2023-07-01,NA,"Rest of the world, non-Swiss","International Milk",NA,34.10333
2023-07-01,"Conventional","Region 1","CH Milk ","Switzerland",91.072618
2023-07-01,"IP Suisse","Switzerland","CH Milk ","Switzerland",76.15988
2023-07-01,NA,"Region 5","CH Milk ","Switzerland",78.776672
2023-07-01,"Conventional","Region 2","CH Milk ","Switzerland",74.040787
2023-07-01,"Conventional","Region 2","CH Milk ","Switzerland",75.823837
2023-07-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-07-01,NA,"Germany","International Milk","Germany",39.804673
2023-07-01,NA,"New Zealand","International Milk","New Zealand",27.910629
2023-07-01,"Conventional","Region 5","CH Milk ","Switzerland",81.283
2023-07-01,"Conventional","Region 4","CH Milk ","Switzerland",71.872075
2023-07-01,"Conventional","Region 1","CH Milk ","Switzerland",89.25724
2023-07-01,NA,"Italy","International Milk","Italy",49.654352
2023-07-01,"Conventional","Switzerland","CH Milk ","Switzerland",72.434854
2023-07-01,"Conventional","Region 2","CH Milk ","Switzerland",73.10126
2023-07-01,"Conventional","Region 5","CH Milk ","Switzerland",81.310627
2023-07-01,"Conventional","Region 4","CH Milk ","Switzerland",77.79138
2023-07-01,NA,"Region 3","CH Milk ","Switzerland",74.856318
2023-07-01,NA,"France","International Milk","France",42.974543
2023-07-01,NA,"Austria","International Milk","Austria",46.343817
2023-07-01,"Conventional","Switzerland","CH Milk ","Switzerland",81.996386
2023-07-01,NA,"Switzerland","CH Milk ","Switzerland",77.336285
2023-07-01,"Conventional","Switzerland","CH Milk ","Switzerland",56.1
2023-07-01,NA,"Region 2","CH Milk ","Switzerland",75.80886
2023-07-01,NA,"Switzerland","CH Milk ","Switzerland",75.450034
2023-07-01,"Bio","Region 4","CH Milk ","Switzerland",94.115319
2023-07-01,"Conventional","Switzerland","CH Milk ","Switzerland",56.094307
2023-07-01,"Bio","Region 1","CH Milk ","Switzerland",93.95089
2023-07-01,"Bio","Switzerland","CH Milk ","Switzerland",95.228468
2023-07-01,"Conventional","Switzerland","CH Milk ","Switzerland",79.196172
2023-07-01,NA,"EU","International Milk","EU-28",42.243882
2023-07-01,"Bio","Region 2","CH Milk ","Switzerland",97.399849
2023-07-01,NA,"Region 4","CH Milk ","Switzerland",75.986679
2023-07-01,"Conventional","Switzerland","CH Milk ","Switzerland",79.174408
2023-07-01,NA,"Italy","International Milk","Italy",48.305
2023-07-01,"Conventional","Switzerland","CH Milk ","Switzerland",56.1
2023-07-01,"Conventional","Region 3","CH Milk ","Switzerland",72.528538
2023-07-01,"Conventional","Switzerland","CH Milk ","Switzerland",76.00889
2023-07-01,"Conventional","Region 4","CH Milk ","Switzerland",76.175753
2023-06-01,"Conventional","Switzerland","CH Milk ","Switzerland",70.072655
2023-06-01,"Conventional","Switzerland","CH Milk ","Switzerland",56.1
2023-06-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-06-01,"Conventional","Region 3","CH Milk ","Switzerland",69.350497
2023-06-01,"Conventional","Region 2","CH Milk ","Switzerland",75.242506
2023-06-01,"Conventional","Region 5","CH Milk ","Switzerland",68.195883
2023-06-01,"Conventional","Switzerland","CH Milk ","Switzerland",81.299575
2023-06-01,"Conventional","Region 2","CH Milk ","Switzerland",69.840754
2023-06-01,NA,"Region 5","CH Milk ","Switzerland",78.167181
2023-06-01,"Conventional","Switzerland","CH Milk ","Switzerland",55.218998
2023-06-01,"Conventional","Region 5","CH Milk ","Switzerland",81.35077
2023-06-01,NA,"Austria","International Milk","Austria",48.527714
2023-06-01,NA,"Rest of the world, non-Swiss","International Milk",NA,36.11274
2023-06-01,"Conventional","Switzerland","CH Milk ","Switzerland",76.777739
2023-06-01,NA,"Region 2","CH Milk ","Switzerland",73.107093
2023-06-01,"Conventional","Switzerland","CH Milk ","Switzerland",56.1
2023-06-01,"Bio","Region 1","CH Milk ","Switzerland",90.970731
2023-06-01,NA,"USA / Canada","International Milk","USA",35.536888
2023-06-01,"Conventional","Region 5","CH Milk ","Switzerland",81.23194
2023-06-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-06-01,NA,"Italy","International Milk","Italy",49.406913
2023-06-01,NA,"Region 1","CH Milk ","Switzerland",82.104631
2023-06-01,"Bio","Region 2","CH Milk ","Switzerland",91.331274
2023-06-01,NA,"New Zealand","International Milk","New Zealand",33.555568
2023-06-01,"Bio","Switzerland","CH Milk ","Switzerland",90.42815
2023-06-01,NA,"EU","International Milk","EU-28",43.205185
2023-06-01,NA,"Germany","International Milk","Germany",41.146075
2023-06-01,"Conventional","Region 4","CH Milk ","Switzerland",75.47011
2023-06-01,"IP Suisse","Switzerland","CH Milk ","Switzerland",74.368531
2023-06-01,"Conventional","Switzerland","CH Milk ","Switzerland",73.977696
2023-06-01,NA,"Italy","International Milk","Italy",49.27476
2023-06-01,NA,"Region 4","CH Milk ","Switzerland",73.368684
2023-06-01,NA,"Switzerland","CH Milk ","Switzerland",73.338662
2023-06-01,"Conventional","Region 4","CH Milk ","Switzerland",73.52292
2023-06-01,NA,"Switzerland","CH Milk ","Switzerland",75.172129
2023-06-01,"Conventional","Region 2","CH Milk ","Switzerland",73.851217
2023-06-01,"Conventional","Region 4","CH Milk ","Switzerland",69.903098
2023-06-01,"Conventional","Region 1","CH Milk ","Switzerland",71.429646
2023-06-01,"Conventional","Region 1","CH Milk ","Switzerland",90.006286
2023-06-01,NA,"France","International Milk","France",42.52607
2023-06-01,"Bio","Region 4","CH Milk ","Switzerland",89.417119
2023-06-01,"Conventional","Switzerland","CH Milk ","Switzerland",77.293359
2023-06-01,"Conventional","Region 1","CH Milk ","Switzerland",88.137258
2023-06-01,NA,"Region 3","CH Milk ","Switzerland",71.384479
2023-05-01,NA,"EU","International Milk","EU-28",44.372541
2023-05-01,"IP Suisse","Switzerland","CH Milk ","Switzerland",73.394655
2023-05-01,"Conventional","Region 2","CH Milk ","Switzerland",72.372622
2023-05-01,"Conventional","Region 4","CH Milk ","Switzerland",74.376391
2023-05-01,"Conventional","Switzerland","CH Milk ","Switzerland",72.177311
2023-05-01,"Conventional","Region 1","CH Milk ","Switzerland",90.933623
2023-05-01,"Conventional","Region 5","CH Milk ","Switzerland",80.197147
2023-05-01,"Conventional","Region 2","CH Milk ","Switzerland",75.467205
2023-05-01,"Conventional","Switzerland","CH Milk ","Switzerland",53.974187
2023-05-01,NA,"Switzerland","CH Milk ","Switzerland",73.242149
2023-05-01,"Conventional","Region 5","CH Milk ","Switzerland",64.968774
2023-05-01,NA,"Region 4","CH Milk ","Switzerland",71.303006
2023-05-01,"Conventional","Switzerland","CH Milk ","Switzerland",74.678804
2023-05-01,NA,"Region 1","CH Milk ","Switzerland",81.483227
2023-05-01,NA,"Austria","International Milk","Austria",49.507751
2023-05-01,"Conventional","Region 4","CH Milk ","Switzerland",68.179051
2023-05-01,"Bio","Region 1","CH Milk ","Switzerland",88.077905
2023-05-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-05-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-05-01,"Bio","Region 4","CH Milk ","Switzerland",83.436823
2023-05-01,NA,"Region 5","CH Milk ","Switzerland",75.992754
2023-05-01,NA,"Switzerland","CH Milk ","Switzerland",71.455755
2023-05-01,"Conventional","Region 2","CH Milk ","Switzerland",67.523706
2023-05-01,"Conventional","Switzerland","CH Milk ","Switzerland",68.073188
2023-05-01,NA,"Rest of the world, non-Swiss","International Milk",NA,35.502012
2023-05-01,NA,"Italy","International Milk","Italy",50.186873
2023-05-01,"Bio","Switzerland","CH Milk ","Switzerland",85.189777
2023-05-01,NA,"Italy","International Milk","Italy",43.525662
2023-05-01,NA,"USA / Canada","International Milk","USA",38.174416
2023-05-01,"Conventional","Switzerland","CH Milk ","Switzerland",76.261637
2023-05-01,"Conventional","Region 3","CH Milk ","Switzerland",66.581797
2023-05-01,"Bio","Region 2","CH Milk ","Switzerland",85.478058
2023-05-01,NA,"Germany","International Milk","Germany",42.895501
2023-05-01,NA,"France","International Milk","France",42.494055
2023-05-01,"Conventional","Region 4","CH Milk ","Switzerland",71.66187
2023-05-01,"Conventional","Switzerland","CH Milk ","Switzerland",55.9
2023-05-01,"Conventional","Region 1","CH Milk ","Switzerland",88.5218
2023-05-01,NA,"New Zealand","International Milk","New Zealand",34.780268
2023-05-01,"Conventional","Switzerland","CH Milk ","Switzerland",81.368352
2023-05-01,"Conventional","Region 1","CH Milk ","Switzerland",70.432901
2023-05-01,"Conventional","Region 5","CH Milk ","Switzerland",80.072831
2023-05-01,"Conventional","Switzerland","CH Milk ","Switzerland",55.9
2023-05-01,NA,"Region 3","CH Milk ","Switzerland",68.859911
2023-05-01,NA,"Region 2","CH Milk ","Switzerland",70.694512
2023-04-01,NA,"Rest of the world, non-Swiss","International Milk",NA,35.747877
2023-04-01,NA,"Italy","International Milk","Italy",42.591478
2023-04-01,"Conventional","Region 4","CH Milk ","Switzerland",72.817349
2023-04-01,"Conventional","Region 1","CH Milk ","Switzerland",71.420801
2023-04-01,NA,"Switzerland","CH Milk ","Switzerland",73.778987
2023-04-01,NA,"New Zealand","International Milk","New Zealand",34.723695
2023-04-01,"Conventional","Switzerland","CH Milk ","Switzerland",72.684769
2023-04-01,"Conventional","Switzerland","CH Milk ","Switzerland",69.191458
2023-04-01,NA,"Region 1","CH Milk ","Switzerland",81.867607
2023-04-01,"Conventional","Region 2","CH Milk ","Switzerland",68.661841
2023-04-01,"Bio","Region 4","CH Milk ","Switzerland",84.145767
2023-04-01,"Conventional","Switzerland","CH Milk ","Switzerland",57.4
